,Comparison,Metric,Segment,value
173,GTvsDL,VolumeRatio,pcm_mid,0.4423927144378537
174,GTvsDLB,DICE,pcm_mid,0.8501617089175383
175,GTvsDLB,EPL,pcm_mid,888.4321546052631
176,GTvsDLB,Hausdorff,pcm_mid,5.8303304977292525
177,GTvsDLB,LineRatio,pcm_mid,0.551199286992146
178,GTvsDLB,MSD,pcm_mid,0.26038583082648914
179,GTvsDLB,VolumeRatio,pcm_mid,0.15461361163854287
180,GTvsATLAS,DICE,pcm_up,0.6226833532760789
181,GTvsATLAS,EPL,pcm_up,2055.230018028846
182,GTvsATLAS,Hausdorff,pcm_up,19.977130602437622
183,GTvsATLAS,LineRatio,pcm_up,0.8151423255286385
184,GTvsATLAS,MSD,pcm_up,1.3561223291964795
185,GTvsATLAS,VolumeRatio,pcm_up,0.3780406419491369
186,GTvsDL,DICE,pcm_up,0.5516219688272563
187,GTvsDL,EPL,pcm_up,2080.872159090909
188,GTvsDL,Hausdorff,pcm_up,23.828800055237103
189,GTvsDL,LineRatio,pcm_up,0.8420360052795157
190,GTvsDL,MSD,pcm_up,2.2692362785002613
191,GTvsDL,VolumeRatio,pcm_up,0.492227058777343
192,GTvsDLB,DICE,pcm_up,0.7808197838453234
193,GTvsDLB,EPL,pcm_up,1608.0303248355262
194,GTvsDLB,Hausdorff,pcm_up,14.139416515088586
195,GTvsDLB,LineRatio,pcm_up,0.6536975740141419
196,GTvsDLB,MSD,pcm_up,0.47329978042931325
197,GTvsDLB,VolumeRatio,pcm_up,0.20692193053452967
198,GTvsATLAS,DICE,spinalcord,0.7696490832371432
199,GTvsATLAS,EPL,spinalcord,2881.6534765625
200,GTvsATLAS,Hausdorff,spinalcord,14.465941542276054
201,GTvsATLAS,LineRatio,spinalcord,0.7685170876428158
202,GTvsATLAS,MSD,spinalcord,0.6613410144563098
203,GTvsATLAS,VolumeRatio,spinalcord,0.2133040721195778
204,GTvsDL,DICE,spinalcord,0.8139816703723822
205,GTvsDL,EPL,spinalcord,2629.599796660959
206,GTvsDL,Hausdorff,spinalcord,14.657354446382753
207,GTvsDL,LineRatio,spinalcord,0.7054477705406398
208,GTvsDL,MSD,spinalcord,0.7750026391579837
209,GTvsDL,VolumeRatio,spinalcord,0.15596826937754293
210,GTvsDLB,DICE,spinalcord,0.8222009867603954
211,GTvsDLB,EPL,spinalcord,2611.046714469178
212,GTvsDLB,Hausdorff,spinalcord,15.991223814949292
213,GTvsDLB,LineRatio,spinalcord,0.7018552252999908
214,GTvsDLB,MSD,spinalcord,0.7617319735146264
215,GTvsDLB,VolumeRatio,spinalcord,0.14381015843901396
216,GTvsATLAS,DICE,submandibular_merged,0.6374241028327919
217,GTvsATLAS,EPL,submandibular_merged,1797.7856987847222
218,GTvsATLAS,Hausdorff,submandibular_merged,14.62026236356445
219,GTvsATLAS,LineRatio,submandibular_merged,0.8781713959419365
220,GTvsATLAS,MSD,submandibular_merged,1.353346274219786
221,GTvsATLAS,VolumeRatio,submandibular_merged,0.21954493687444265
222,GTvsDL,DICE,submandibular_merged,0.7825294699003015
223,GTvsDL,EPL,submandibular_merged,1574.858099489796
224,GTvsDL,Hausdorff,submandibular_merged,12.397377103717462
225,GTvsDL,LineRatio,submandibular_merged,0.7522699969976572
226,GTvsDL,MSD,submandibular_merged,0.992329491746545
227,GTvsDL,VolumeRatio,submandibular_merged,0.24045221350471355
228,GTvsDLB,DICE,submandibular_merged,0.8899004897762086
229,GTvsDLB,EPL,submandibular_merged,1322.5157844387754
